run,p50,p95,p99,http_reqs,checks_passed,checks_failed
run-1,480.94325,497.326185,746.1953,418,418,0
run-2,481.7907,496.06769999999995,744.3754,419,419,0
run-3,480.63665000000003,491.77660999999995,782.2658,420,420,0
